,T,Tau
92,0.1263616502070467,6.485977757541957e-06
93,0.1264624516563491,6.508629907470495e-06
94,0.1265655102978004,6.554011207829622e-06
95,0.12667081582747855,6.593527453066352e-06
96,0.12677832285359444,6.6148646774826805e-06
97,0.12688794546398807,6.621950631652854e-06
98,0.12699957663837633,6.6164442450351275e-06
99,0.12711311182500482,6.607053401381122e-06
100,0.12722845729921287,6.597366730354412e-06
101,0.1273455328286206,6.599939702456364e-06
102,0.12746426616507436,6.608550172949157e-06
103,0.12758459190554206,6.615709621206125e-06
104,0.127706440855746,6.620132085590518e-06
105,0.12782973328336933,6.622037441630036e-06
106,0.12795438276912058,6.622555399063825e-06
107,0.1280803014526975,6.622869232608199e-06
108,0.12820740288405783,6.623674704210552e-06
109,0.12833560257105922,6.625072143678135e-06
110,0.1284648171576746,6.626736706059423e-06
111,0.1285949631816869,6.628363319160901e-06
112,0.12872595421578678,6.6090561302171435e-06
113,0.12885770786453576,6.628001084429172e-06
114,0.12899012832030804,6.649309425939442e-06
115,0.12912314732096694,6.6463277914838726e-06
116,0.12925668588282602,6.637129562783041e-06
117,0.12939064204078868,6.62985358391387e-06
118,0.12952491088399692,6.642338831154425e-06
119,0.12965942014557716,6.623427587697153e-06
120,0.1297940951637262,6.6137800861406634e-06
121,0.1299288385057223,6.6149561055566545e-06
122,0.13006356125570123,6.621529207053999e-06
123,0.13019818690324217,6.628050361660258e-06
124,0.13033263810329956,6.63126716117397e-06
125,0.13046683124506986,6.6305195584111535e-06
126,0.1306006779407945,6.626946986869561e-06
127,0.13073408900915207,6.622311851254547e-06
128,0.13086697765975555,6.618058908750922e-06
129,0.13099926061308106,6.614880265983585e-06
130,0.13113085747198477,6.612747486127944e-06
131,0.131261689340289,6.611206647671553e-06
132,0.1313916776083032,6.609715111966774e-06
133,0.13152074337573105,6.607875278608236e-06
134,0.13164880752244282,6.605520725763641e-06
135,0.13177579116427268,6.6026842206180455e-06
136,0.13190161618108878,6.599508032657709e-06
137,0.13202620610644356,6.595320505179756e-06
138,0.13214948476181906,6.591835675011309e-06
139,0.13227171808528734,5.787074761445894e-06
140,0.13239199102469118,7.079739507919151e-06
141,0.13251030517674373,7.246197027384628e-06
142,0.13262769341293068,6.717207891488545e-06
143,0.13274387885977398,6.474540110463174e-06
144,0.1328579533779733,6.612565261527844e-06
145,0.13296981937600869,6.6566577908623885e-06
146,0.13307973477258062,6.66831564468251e-06
147,0.13318788169736043,6.371974983409941e-06
148,0.13329228086863346,7.655509208328932e-06
149,0.13339988486791807,3.2148705626316834e-06
150,0.1335016322530238,5.883918608818634e-06
151,0.1336000007817794,6.93708172087368e-06
152,0.13369662547703173,7.551255013729712e-06
153,0.13379229413767565,7.631046006725334e-06
154,0.13388633095924027,7.340688599982718e-06
155,0.13397793610880734,6.889468606313778e-06
156,0.13406658968171772,6.450106113429991e-06
157,0.13415213710985108,6.147594222796632e-06
158,0.13423468362274402,6.036893156808333e-06
159,0.13431444685123956,6.096648601423232e-06
160,0.13439163352021297,6.250281060172625e-06
161,0.13446635559046946,6.430453755380309e-06
162,0.134536038553834,1.2841372627188092e-05
163,0.1346087810138798,-7.84915687598376e-07
164,0.13467907889932249,-9.896967226574524e-07
165,0.1347405357046329,1.129282939729037e-05
166,0.1347961753137729,1.2866785876644835e-05
167,0.13485471321834067,7.3575634775193956e-06
168,0.1349143787237983,4.668764402302838e-06
169,0.13496887643262853,4.992156086068985e-06
170,0.13501692426833006,6.071321562023079e-06
171,0.13506084081420763,6.570671074380669e-06
172,0.13510247810762843,6.55456565564871e-06
173,0.13514204454451412,6.4370203156710945e-06
174,0.13517895693690302,6.392761562730856e-06
175,0.13521272978026191,6.400326388201256e-06
176,0.13524319696060566,6.409910486984295e-06
177,0.13527036812510979,6.407174896580232e-06
178,0.1352942823778332,6.398880324626288e-06
179,0.13531496057101774,6.38209432615036e-06
180,0.1353324038684524,6.384408883955562e-06
181,0.13534660410978142,6.397015216367059e-06
182,0.13535756511851768,6.378286109936042e-06
183,0.13536528761403122,6.364644146615654e-06
184,0.1353697545390615,6.359253541890849e-06
185,0.135370956756735,6.35612406700464e-06
186,0.13536889731400456,6.351753537574827e-06
187,0.13536358143926946,6.346133773315684e-06
188,0.13535501278365267,6.340182309461781e-06
189,0.13534319498126937,6.334331065437974e-06
190,0.13532813362094243,6.328580741457349e-06
191,0.13530983680576372,6.322851305652672e-06
192,0.1352883148770599,6.317117516582593e-06
193,0.13526358008844303,6.31138991343154e-06
194,0.13523564646969044,6.305679826144443e-06
195,0.1352045298107171,6.299990789574606e-06
196,0.13517024767403774,6.294323258201563e-06
197,0.1351328194026917,6.288678283162538e-06
198,0.13509226612190225,6.283057960577649e-06
199,0.13504861073707844,6.277464729286637e-06
200,0.1350018779288966,6.2719009229418276e-06
201,0.13495209414534975,6.266368774448347e-06
202,0.13489928759194958,6.260870478025528e-06
203,0.13484348822045053,6.255408240085746e-06
204,0.1347847301688326,6.241034268805848e-06
205,0.13472304122111345,6.256302223085387e-06
206,0.1346584564413206,6.244133258977539e-06
207,0.134591022407459,6.231834406207826e-06
208,0.1345207724320306,6.225619611517837e-06
209,0.1344477409932514,6.2219375495492605e-06
210,0.13437197161001393,6.218010992283635e-06
211,0.13429351085945027,6.213294895796763e-06
212,0.13421240490465272,6.208252872117159e-06
213,0.13412869990570345,6.203225988094213e-06
214,0.1340424433341885,6.198295889315786e-06
215,0.13395368458032864,6.193445598405986e-06
216,0.13386247491567563,6.18866114988905e-06
217,0.1337688672823399,6.183944399333236e-06
218,0.13367291614410587,6.179300951769625e-06
219,0.13357467741845463,6.17473423898624e-06
220,0.13347420844881056,6.170246364854282e-06
221,0.1333715679874127,6.165839508499697e-06
222,0.13326681617872585,6.16151642300436e-06
223,0.13316001453948031,6.157280117265411e-06
224,0.1330512299461878,6.099983599703216e-06
225,0.1329405237845672,6.080694084149655e-06
226,0.1328279217294129,6.36824440490648e-06
227,0.1327135427734554,6.059036373369178e-06
228,0.13259753104120428,6.184484961880502e-06
229,0.13247981713794513,6.057868816678696e-06
230,0.13236049281318168,6.1578876208939225e-06
231,0.13223963073004136,6.09746636218828e-06
232,0.13211734694479943,6.141404859605992e-06
233,0.131993705405738,6.108212966066707e-06
234,0.1318687849655364,6.125808545564743e-06
235,0.1317426490014071,6.10927691410229e-06
236,0.13161537537048262,6.115097416741928e-06
237,0.13148703797144973,6.10666136131219e-06
238,0.13135771728119605,6.107554696445034e-06
239,0.13122749200537778,6.102936935178493e-06
240,0.13109644339867654,6.101993188102115e-06
241,0.13096465212778388,6.099064606675977e-06
242,0.1308322000428524,6.0975436452334375e-06
243,0.1306991691145309,6.095414288139915e-06
244,0.1305656421079707,6.093865994916142e-06
245,0.13043170220738498,6.0922214056550355e-06
246,0.13029743320537623,6.0908745972833804e-06
247,0.13016291933262916,6.089610272582186e-06
248,0.13002824527076418,6.088552575065647e-06
249,0.12989349605707193,6.087637626102767e-06
250,0.12975875704913759,6.0869036642495315e-06
251,0.12962411385941314,6.0863340162383155e-06
252,0.12948965230748194,6.085941174696589e-06
253,0.12935545836325782,6.085722327861323e-06
254,0.12922161809424965,6.085682507938451e-06
255,0.12908821760942915,6.085822593784057e-06
256,0.12895534300340228,6.0861453812445005e-06
257,0.12882308029916612,6.086652552452011e-06
258,0.12869151539042825,6.0873461320279176e-06
259,0.128560733983058,6.088227770877097e-06
260,0.12843082153623614,6.089299119233467e-06
261,0.12830186320282666,6.09056159018575e-06
262,0.12817394376937866,6.0920164921203e-06
